operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttentionMla,11,"[[1, 8, 128, 256], [1, 8, 128, 128], [1, 1, 256, 256], [1, 1, 256, 128], [1, 1, 256, 256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 1, ""seq_len_q"": 128, ""seq_len_kv"": 256, ""d_nope"": 256, ""d_rope"": 128, ""d_v"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq128-Skv256 reference-aligned coverage
FlashAttentionMla,12,"[[2, 32, 1024, 128], [2, 32, 1024, 64], [2, 8, 2048, 128], [2, 8, 2048, 64], [2, 8, 2048, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 2, ""n_heads"": 32, ""kv_heads"": 8, ""seq_len_q"": 1024, ""seq_len_kv"": 2048, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B2-Sq1024-Skv2048 reference-aligned coverage
FlashAttentionMla,13,"[[4, 16, 97, 128], [4, 16, 97, 64], [4, 2, 200, 128], [4, 2, 200, 64], [4, 2, 200, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 4, ""n_heads"": 16, ""kv_heads"": 2, ""seq_len_q"": 97, ""seq_len_kv"": 200, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B4-Sq97-Skv200 reference-aligned coverage
FlashAttentionMla,14,"[[1, 32, 512, 256], [1, 32, 512, 64], [1, 4, 512, 256], [1, 4, 512, 64], [1, 4, 512, 256]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 32, ""kv_heads"": 4, ""seq_len_q"": 512, ""seq_len_kv"": 512, ""d_nope"": 256, ""d_rope"": 64, ""d_v"": 256, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq512-Skv512 reference-aligned coverage
FlashAttentionMla,15,"[[2, 8, 64, 128], [2, 8, 64, 64], [2, 2, 128, 128], [2, 2, 128, 64], [2, 2, 128, 128]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16"", ""bfloat16""]","{""batch_size"": 2, ""n_heads"": 8, ""kv_heads"": 2, ""seq_len_q"": 64, ""seq_len_kv"": 128, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""bfloat16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,bfloat16 B2-Sq64-Skv128 reference-aligned coverage
FlashAttentionMla,16,"[[1, 8, 1, 128], [1, 8, 1, 64], [1, 1, 128, 128], [1, 1, 128, 64], [1, 1, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 1, ""seq_len_q"": 1, ""seq_len_kv"": 128, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq1-Skv128 reference-aligned coverage
FlashAttentionMla,17,"[[1, 8, 64, 128], [1, 8, 64, 64], [1, 1, 64, 128], [1, 1, 64, 64], [1, 1, 64, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 1, ""seq_len_q"": 64, ""seq_len_kv"": 64, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq64-Skv64 reference-aligned coverage
FlashAttentionMla,18,"[[1, 8, 128, 128], [1, 8, 128, 64], [1, 1, 256, 128], [1, 1, 256, 64], [1, 1, 256, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 1, ""seq_len_q"": 128, ""seq_len_kv"": 256, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq128-Skv256 reference-aligned coverage
FlashAttentionMla,19,"[[1, 8, 256, 128], [1, 8, 256, 64], [1, 1, 512, 128], [1, 1, 512, 64], [1, 1, 512, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 1, ""seq_len_q"": 256, ""seq_len_kv"": 512, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq256-Skv512 reference-aligned coverage
FlashAttentionMla,20,"[[1, 8, 1, 128], [1, 8, 1, 64], [1, 4, 128, 128], [1, 4, 128, 64], [1, 4, 128, 128]]","[""float16"", ""float16"", ""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""kv_heads"": 4, ""seq_len_q"": 1, ""seq_len_kv"": 128, ""d_nope"": 128, ""d_rope"": 64, ""d_v"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-Sq1-Skv128 reference-aligned coverage
