operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
MultiQueryAttention,11,"[[1, 4, 128, 128], [1, 1, 128, 128], [1, 1, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage
MultiQueryAttention,12,"[[1, 4, 256, 128], [1, 1, 256, 128], [1, 1, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S256 reference-aligned coverage
MultiQueryAttention,13,"[[1, 4, 512, 128], [1, 1, 512, 128], [1, 1, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S512 reference-aligned coverage
MultiQueryAttention,14,"[[1, 4, 1024, 128], [1, 1, 1024, 128], [1, 1, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 4, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S1024 reference-aligned coverage
MultiQueryAttention,15,"[[1, 8, 64, 128], [1, 1, 64, 128], [1, 1, 64, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 64, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S64 reference-aligned coverage
MultiQueryAttention,16,"[[1, 8, 256, 128], [1, 1, 256, 128], [1, 1, 256, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 256, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S256 reference-aligned coverage
MultiQueryAttention,17,"[[1, 8, 512, 128], [1, 1, 512, 128], [1, 1, 512, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 512, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S512 reference-aligned coverage
MultiQueryAttention,18,"[[1, 8, 1024, 128], [1, 1, 1024, 128], [1, 1, 1024, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 8, ""seq_len"": 1024, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S1024 reference-aligned coverage
MultiQueryAttention,19,"[[1, 16, 64, 128], [1, 1, 64, 128], [1, 1, 64, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len"": 64, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S64 reference-aligned coverage
MultiQueryAttention,20,"[[1, 16, 128, 128], [1, 1, 128, 128], [1, 1, 128, 128]]","[""float16"", ""float16"", ""float16""]","{""batch_size"": 1, ""n_heads"": 16, ""seq_len"": 128, ""d_k"": 128, ""dtype"": ""float16""}","[[-1, 1], [-1, 1], [-1, 1]]",,,float16 B1-S128 reference-aligned coverage
