operator,case_id,input_shape,dtype,attrs,value_range,baseline_perf_us,t_hw_us,note
FlashAttentionTnd,11,"[[384, 4, 128], [512, 4, 128], [512, 4, 128], [3], [3]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [64, 192, 384], ""kv_len_prefix"": [128, 256, 512]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq384-Tkv512 reference-aligned coverage
FlashAttentionTnd,12,"[[256, 4, 128], [256, 4, 128], [256, 4, 128], [1], [1]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""bfloat16"", ""q_len_prefix"": [256], ""kv_len_prefix"": [256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,bfloat16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,13,"[[187, 4, 128], [256, 4, 128], [256, 4, 128], [2], [2]]","[""bfloat16"", ""bfloat16"", ""bfloat16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""bfloat16"", ""q_len_prefix"": [73, 187], ""kv_len_prefix"": [100, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,bfloat16 Tq187-Tkv256 reference-aligned coverage
FlashAttentionTnd,14,"[[256, 16, 64], [256, 16, 64], [256, 16, 64], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 16, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [128, 256], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,15,"[[256, 4, 128], [320, 4, 128], [320, 4, 128], [4], [4]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 128, ""dtype"": ""float16"", ""q_len_prefix"": [32, 96, 160, 256], ""kv_len_prefix"": [64, 128, 192, 320]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv320 reference-aligned coverage
FlashAttentionTnd,16,"[[64, 4, 64], [64, 4, 64], [64, 4, 64], [1], [1]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [64], ""kv_len_prefix"": [64]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq64-Tkv64 reference-aligned coverage
FlashAttentionTnd,17,"[[128, 4, 64], [256, 4, 64], [256, 4, 64], [1], [1]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [128], ""kv_len_prefix"": [256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq128-Tkv256 reference-aligned coverage
FlashAttentionTnd,18,"[[128, 4, 64], [256, 4, 64], [256, 4, 64], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [64, 128], ""kv_len_prefix"": [128, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq128-Tkv256 reference-aligned coverage
FlashAttentionTnd,19,"[[256, 4, 64], [256, 4, 64], [256, 4, 64], [4], [4]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [64, 128, 192, 256], ""kv_len_prefix"": [64, 128, 192, 256]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq256-Tkv256 reference-aligned coverage
FlashAttentionTnd,20,"[[213, 4, 64], [230, 4, 64], [230, 4, 64], [2], [2]]","[""float16"", ""float16"", ""float16"", ""int64"", ""int64""]","{""n_heads"": 4, ""dim"": 64, ""dtype"": ""float16"", ""q_len_prefix"": [96, 213], ""kv_len_prefix"": [128, 230]}","[[-1, 1], [-1, 1], [-1, 1], null, null]",,,float16 Tq213-Tkv230 reference-aligned coverage
